"comptoir_id";"software";"license";"wikidata_id";"sill_id";"cnll_id";"framalibre_slug";"software_website";"software_repository";"comptoir_url";"wikidata_url";"sill_url";"cnll_url";"framalibre_url"
550;"FreeFEM";"LGPLv3";"Q5499643";324;"";"";"https://freefem.org/";"https://github.com/FreeFem/FreeFem-sources";"https://comptoir-du-libre.org/fr/softwares/550";"https://www.wikidata.org/wiki/Q5499643";"https://code.gouv.fr/sill/fr/software?id=324";"";""
52;"FreeFileSync";"GNU GPLv3";"Q18150468";47;"";"freefilesync";"http://www.freefilesync.org/";"https://github.com/feinstaub/freefilesync-pak.git";"https://comptoir-du-libre.org/fr/softwares/52";"https://www.wikidata.org/wiki/Q18150468";"https://code.gouv.fr/sill/fr/software?id=47";"";"https://framalibre.org/content/freefilesync"
280;"FreeIPA";"GNU GPLv3";"";"";"";"";"https://www.freeipa.org";"https://pagure.io/freeipa/";"https://comptoir-du-libre.org/fr/softwares/280";"";"";"";""
429;"FreePascal";"GNU GPLv2";"";225;"";"";"https://www.freepascal.org";"https://svn.freepascal.org/svn/fpc/";"https://comptoir-du-libre.org/fr/softwares/429";"";"https://code.gouv.fr/sill/fr/software?id=225";"";""
798;"FreePbx";"GNU GPLv3";"";"";"";"";"https://www.freepbx.org/";"https://github.com/freepbx";"https://comptoir-du-libre.org/fr/softwares/798";"";"";"";""
61;"Freeplane";"GNU GPLv2";"Q3028675";48;"";"freeplane";"https://docs.freeplane.org/";"https://github.com/freeplane/freeplane.git";"https://comptoir-du-libre.org/fr/softwares/61";"https://www.wikidata.org/wiki/Q3028675";"https://code.gouv.fr/sill/fr/software?id=48";"";"https://framalibre.org/content/freeplane"
415;"French Automation";"GNU GPLv3";"";"";"";"";"https://www.frenchautomation.com";"https://github.com/frenchautomationorg/french-automation-robot";"https://comptoir-du-libre.org/fr/softwares/415";"";"";"";""
46;"FusionDirectory";"GNU GPLv2";"Q96679195";206;"";"";"https://www.fusiondirectory.org/";"https://gitlab.fusiondirectory.org/fusiondirectory/fd";"https://comptoir-du-libre.org/fr/softwares/46";"https://www.wikidata.org/wiki/Q96679195";"https://code.gouv.fr/sill/fr/software?id=206";"";""
698;"FusionDirectory Orchestrator";"GNU GPLv2";"";"";"";"";"https://www.fusiondirectory.org";"https://gitlab.fusiondirectory.org/fusiondirectory/fusiondirectory-orchestrator";"https://comptoir-du-libre.org/fr/softwares/698";"";"";"";""
75;"FusionForge";"GNU GPL";"";"";"";"";"https://fusionforge.org";"https://scm.fusionforge.org/anonscm/git/fusionforge/fusionforge.git ";"https://comptoir-du-libre.org/fr/softwares/75";"";"";"";""
845;"g8";"GNU GPLv3";"";"";"";"";"https://www.the-gate.fr/";"https://github.com/gatesuperapp/g8-invoicing/";"https://comptoir-du-libre.org/fr/softwares/845";"";"";"";""
118;"Gadael - Gestion des congés";"MIT";"";"";"";"";"https://github.com/gadael/gadael";"https://github.com/gadael/gadael";"https://comptoir-du-libre.org/fr/softwares/118";"";"";"";""
866;"Galette";"GNU GPLv3";"";"";"";"";"https://galette.eu";"https://github.com/galette/galette/";"https://comptoir-du-libre.org/fr/softwares/866";"";"";"";""
525;"GanttProject";"GNU GPLv3";"Q1493695";260;"";"ganttproject";"https://www.ganttproject.biz";"https://github.com/bardsoftware/ganttproject";"https://comptoir-du-libre.org/fr/softwares/525";"https://www.wikidata.org/wiki/Q1493695";"https://code.gouv.fr/sill/fr/software?id=260";"";"https://framalibre.org/content/ganttproject"
447;"GCompris";"GNU aGPL v3";"Q1147042";290;"";"gcompris";"https://gcompris.net/";"https://invent.kde.org/education/gcompris.git";"https://comptoir-du-libre.org/fr/softwares/447";"https://www.wikidata.org/wiki/Q1147042";"https://code.gouv.fr/sill/fr/software?id=290";"";"https://framalibre.org/content/gcompris"
504;"GDL - GNU Data Language";"GNU GPLv2";"Q929932";255;"";"";"https://gnudatalanguage.github.io/";"https://github.com/gnudatalanguage/gdl";"https://comptoir-du-libre.org/fr/softwares/504";"https://www.wikidata.org/wiki/Q929932";"https://code.gouv.fr/sill/fr/software?id=255";"";""
839;"Geocontrib";"GNU aGPL v3";"";"";"";"";"https://www.onegeosuite.fr/docs/solution_geocontrib";"https://git.neogeo.fr/geocontrib/";"https://comptoir-du-libre.org/fr/softwares/839";"";"";"";""
399;"GeoMapFish";"BSD";"";"";"";"";"https://geomapfish.org/";"https://github.com/camptocamp/c2cgeoportal";"https://comptoir-du-libre.org/fr/softwares/399";"";"";"";""
125;"GeoNature";"GNU GPLv3";"Q109038131";288;"";"";"http://geonature.fr";"https://github.com/PnX-SI/GeoNature";"https://comptoir-du-libre.org/fr/softwares/125";"https://www.wikidata.org/wiki/Q109038131";"https://code.gouv.fr/sill/fr/software?id=288";"";""
814;"Geonetwork";"GNU GPLv2";"";"";"";"";"https://geonetwork-opensource.org/";"https://github.com/geonetwork";"https://comptoir-du-libre.org/fr/softwares/814";"";"";"";""
